,lat,lon,place_name,total_facility_available_name,large_range_category
46173,37.5144011,126.88268459999999,도림천 화장실,장애인용 화장실,화장실
46180,37.5182935,126.8536189,신정네거리 화장실,장애인용 화장실,화장실
46292,37.486940600000004,127.04662140000002,매봉 화장실,장애인용 화장실,화장실
46295,37.4908245,127.0553064,도곡 화장실,장애인용 화장실,화장실
46298,37.4945429,127.0634256,대치 화장실,장애인용 화장실,화장실
46410,37.5880209,127.0057966,한성대 화장실,장애인용 화장실,화장실
46413,37.4716635953,127.042356418,양재근린공원 화장실,장애인용 화장실,화장실
46416,37.4761184197,127.04170774299999,양재천근린공원 화장실,장애인용 화장실,화장실
46421,37.4732137508,127.029044613,생태놀이터 화장실,장애인용 화장실,화장실
46426,37.4631052316,127.025473349,섬들근린공원 화장실,장애인용 화장실,화장실
46429,37.4964776852,127.004043895,몽마르뜨공원 화장실,장애인용 화장실,화장실
46433,37.494255446,127.022941865,용허리근린공원 화장실,장애인용 화장실,화장실
46437,37.4587886437,127.01994709899999,송동근린공원 화장실,장애인용 화장실,화장실
46442,37.4454271408,127.05705518799999,청계산 공영주차장 화장실 화장실,장애인용 화장실,화장실
46446,37.4422097221,127.05493281700001,청계산 천개사 앞 화장실 화장실,장애인용 화장실,화장실
46450,37.4410075603,127.051388234,청계산 어둔골 화장실 화장실,장애인용 화장실,화장실
46453,37.4367393715,127.044949157,청계산 원터쉼터 화장실 화장실,장애인용 화장실,화장실
46458,37.434713322600004,127.062113585,청계산 청계골입구 화장실 화장실,장애인용 화장실,화장실
46463,37.4510053035,127.042046405,청계산 개나리골입구화장실 화장실,장애인용 화장실,화장실
46468,37.4633673051,127.058701034,구룡산 입구 화장실 화장실,장애인용 화장실,화장실
46473,37.482719932399995,127.033819575,말죽거리공원 화장실 화장실,장애인용 화장실,화장실
46476,37.482297673699996,127.02075383200001,우면산(서초약수터) 화장실,장애인용 화장실,화장실
46480,37.4760159064,127.020354147,우면산(예술바위 주변) 화장실,장애인용 화장실,화장실
46483,37.4707485433,127.001424374,우면산(신동아아파트 앞) 화장실,장애인용 화장실,화장실
46486,37.4623721833,126.988411864,우면산(남태령 정각사) 화장실,장애인용 화장실,화장실
46489,37.4745142947,127.010653946,우면산(소망탑 깔딱고개) 화장실,장애인용 화장실,화장실
46494,37.479596039,126.989915149,도구머리공원 화장실,장애인용 화장실,화장실
46497,37.5081943527,126.995634263,간이화장실 화장실,장애인용 화장실,화장실
46502,37.4727269304,126.992461925,방배배수지 체육공원 화장실,장애인용 화장실,화장실
46505,37.473464195,127.035750814,양재천수영장 화장실,장애인용 화장실,화장실
46508,37.4766230551,127.041509047,양재천(영동2교둑마루) 화장실,장애인용 화장실,화장실
46513,37.468269086,127.02871261799999,양재천무인자동화장실(교총삼거리둑마루) 화장실,장애인용 화장실,화장실
46407,37.4643638,126.9892695,남태령 화장실,장애인용 화장실,화장실
